generation time avg_rew min_rew max_rew std_rew dist_std mean_run_time max_run_time avg_feef min_feef max_feef std_feef 
3 564 -47.16 -92.74 -3.06 19.69 0.08727 1000.0 1000.0 -990014340000.0 -15069695000000.0 4465053700.0 3638975500000.0 
4 751 -52.33 -82.33 1.66 27.96 0.08704 1000.0 1000.0 -29561893000000.0 -472541000000000.0 5601344500.0 114376730000000.0 
5 934 -40.19 -82.86 106.36 52.64 0.0868 1000.0 1000.0 -424168800000.0 -4357602700000.0 512662340000.0 1244145300000.0 
1 193 -49.31 -82.54 4.93 23.03 0.08658 1000.0 1000.0 9.755664e+17 -4567286000000.0 1.5609067e+19 3.778354e+18 
2 387 -52.68 -87.58 13.94 23.01 0.08636 1000.0 1000.0 -11216373000.0 -87995180000.0 6435218400.0 24805272000.0 
3 579 -47.16 -69.8 -18.12 16.12 0.08615 1000.0 1000.0 -6277844500.0 -20775027000.0 3072685000.0 7565555000.0 
4 767 -50.32 -71.74 -4.78 16.12 0.08595 1000.0 1000.0 -4469553000.0 -28032610000.0 16862630000.0 11093598000.0 
5 962 -58.59 -79.66 -34.33 12.75 0.08575 1000.0 1000.0 -122947140000.0 -1351602800000.0 4147080200.0 340712460000.0 
1 191 -54.79 -83.05 -17.55 20.41 0.08555 1000.0 1000.0 85613304.0 -652828000.0 1914327800.0 503444640.0 
2 381 -54.25 -83.31 -14.83 19.34 0.08536 1000.0 1000.0 66554044.0 -1280825600.0 1319374800.0 480716640.0 
3 573 -51.74 -81.94 -29.12 18.03 0.08517 1000.0 1000.0 -57252040.0 -1965530600.0 1017357440.0 571750900.0 
4 763 -31.11 -64.15 10.54 17.1 0.08498 1000.0 1000.0 -177085980.0 -2196717300.0 883618300.0 628843650.0 
5 957 -43.09 -79.85 -3.86 22.65 0.0848 1000.0 1000.0 -753076350.0 -8354583600.0 844647000.0 2064779500.0 
1 188 -38.35 -73.91 -6.51 21.71 0.08463 991.84 1000.0 -258680210.0 -2513875700.0 449649760.0 736197000.0 
2 374 -31.43 -91.75 9.71 25.97 0.08445 995.06 1000.0 -701628740.0 -4070320600.0 851501200.0 1317368700.0 
3 564 -31.88 -67.04 -0.52 20.47 0.08429 1000.0 1000.0 -375209700.0 -2935886000.0 497706300.0 926661570.0 
4 756 -34.91 -55.87 -9.95 15.57 0.08412 1000.0 1000.0 -465629120.0 -2095551500.0 193166530.0 626250000.0 
5 950 -22.3 -67.6 3.08 18.4 0.08396 999.82 1000.0 -458215200.0 -2440528400.0 444945180.0 741853630.0 
1 189 -22.01 -58.5 7.44 17.35 0.0838 996.84 1000.0 -695275900.0 -2108576800.0 -32941838.0 612117570.0 
2 380 -29.63 -83.7 6.13 26.03 0.08365 995.95 1000.0 -477121860.0 -3793156900.0 4114516000.0 1500599600.0 
3 572 -27.04 -52.34 -11.6 13.68 0.08349 993.5 1000.0 -1207964400.0 -11279613000.0 360239800.0 2698612200.0 
4 754 -30.08 -103.64 -1.56 27.76 0.08334 951.06 1000.0 18990217000.0 -3187541500.0 237642220000.0 60101280000.0 
5 945 -26.82 -93.11 20.18 23.68 0.08319 998.73 1000.0 -1301967100.0 -8207577000.0 2085286000.0 2181302800.0 
1 191 -25.51 -87.26 13.02 21.58 0.08303 981.95 1000.0 -1629201700.0 -4943684600.0 33742010.0 1453097900.0 
2 384 -26.79 -67.71 4.42 19.68 0.08289 983.96 1000.0 -1316921600.0 -4017042000.0 56908212.0 1076718000.0 
3 577 -33.07 -92.38 -8.52 19.35 0.08274 984.89 1000.0 -1242725100.0 -2553039400.0 -165658000.0 770989800.0 
4 768 -33.15 -102.04 12.24 25.61 0.0826 978.78 1000.0 16225864000000.0 -35394320000.0 259668660000000.0 62856658000000.0 
5 953 -39.07 -100.82 -3.44 31.3 0.08246 960.12 1000.0 -1706711400.0 -5252600300.0 -43301220.0 1557836700.0 
1 171 -66.28 -114.62 -1.63 33.13 0.08232 856.14 1000.0 -2991755000.0 -17895463000.0 4866163000.0 4689096700.0 
2 353 -58.8 -129.44 -17.49 30.91 0.08219 941.1 1000.0 133011630000.0 -3692045800.0 2143975200000.0 519232100000.0 
3 533 -46.22 -90.63 4.52 25.68 0.08206 925.5 1000.0 -770993300.0 -6972137500.0 11776182000.0 3696578600.0 
4 716 -41.01 -73.94 -9.51 18.42 0.08193 963.15 1000.0 -985740160.0 -3247082800.0 427570000.0 1139430700.0 
5 899 -28.05 -90.56 0.89 24.02 0.08181 967.31 1000.0 -1029968060.0 -3199137800.0 -36586544.0 838425900.0 
